sex,age,len_head,width_skull,len_earconch,width_eye,len_foot,len_tail,chest,belly,len_total
0,8.0,94.1,60.4,54.5,15.2,74.5,360.0,280.0,360.0,890.0
1,6.0,92.5,57.6,51.2,16.0,72.5,365.0,285.0,330.0,915.0
1,6.0,94.0,60.0,51.9,15.5,75.4,390.0,300.0,340.0,955.0
1,6.0,93.2,57.1,52.2,15.2,76.1,380.0,280.0,340.0,920.0
1,2.0,91.5,56.3,53.2,15.1,71.0,360.0,285.0,330.0,855.0
1,1.0,93.1,54.8,53.6,14.2,73.2,355.0,300.0,320.0,905.0
0,2.0,95.3,58.2,52.0,14.2,71.5,360.0,300.0,345.0,895.0
1,6.0,94.8,57.6,53.9,14.5,72.7,370.0,290.0,340.0,910.0
1,9.0,93.4,56.3,52.9,15.5,72.4,370.0,280.0,330.0,915.0
1,6.0,91.8,58.0,53.4,14.4,70.9,375.0,275.0,320.0,895.0
1,9.0,93.3,57.2,51.3,14.9,77.2,390.0,310.0,340.0,895.0
1,5.0,94.9,55.6,51.0,15.3,71.7,355.0,280.0,330.0,920.0
0,5.0,95.1,59.9,49.8,15.8,71.0,360.0,270.0,320.0,895.0
0,3.0,95.4,57.6,53.7,15.1,74.3,360.0,280.0,315.0,915.0
0,5.0,92.9,57.6,51.8,15.7,69.7,340.0,280.0,350.0,855.0
0,4.0,91.6,56.0,51.4,14.4,73.0,345.0,280.0,320.0,860.0
1,1.0,94.7,67.7,53.2,14.7,73.2,365.0,290.0,310.0,895.0
0,2.0,93.5,55.7,55.4,15.3,73.7,360.0,280.0,320.0,900.0
1,5.0,94.4,55.4,53.9,15.2,73.4,350.0,280.0,320.0,905.0
1,4.0,94.8,56.3,52.4,15.5,73.8,380.0,270.0,360.0,890.0
1,3.0,95.9,58.1,52.9,14.2,77.9,395.0,300.0,400.0,965.0
0,3.0,96.3,58.5,52.1,16.2,73.5,395.0,280.0,360.0,910.0
1,4.0,92.5,56.1,53.3,15.4,72.8,360.0,280.0,350.0,890.0
