########## Simulation of 'system_file_25.txt' on 29.05.2024 21:35:07 ##########

Thermostat: Nose-Hoover with Q = 250.0
External temperature: 10.0
Random start: no
Atoms: 25
System size: 50.0 x 50.0
LJ parameters: sigma = 2.0, epsilon = 2.0
Time step: 0.01
Total runtime: 50.0
Thermalizing time: 25.0

Time	Temperature	Pressure	Momentum	Kinetic energy	Pot. energy	Total energy
0.500  	0.000  	-0.000 	0.000  	0.000  	-0.030 	-0.030 	
1.500  	0.000  	-0.000 	0.000  	0.000  	-0.030 	-0.030 	
2.500  	0.000  	-0.000 	0.000  	0.000  	-0.030 	-0.030 	
3.500  	0.000  	-0.000 	0.000  	0.000  	-0.030 	-0.030 	
4.500  	0.000  	-0.000 	0.000  	0.003  	-0.030 	-0.028 	
5.500  	0.000  	-0.000 	0.000  	0.020  	-0.031 	-0.011 	
6.500  	0.002  	-0.000 	0.000  	0.146  	-0.031 	0.116  	
7.500  	0.014  	0.000  	0.000  	1.082  	-0.031 	1.051  	
8.500  	0.103  	0.001  	0.000  	7.896  	-0.033 	7.863  	
9.500  	0.724  	0.007  	0.000  	53.122 	-0.040 	53.082 	
10.500 	3.899  	0.039  	0.000  	221.541	-0.088 	221.453	
11.500 	9.471  	0.094  	0.000  	262.324	-0.824 	261.500	
12.500 	10.547 	0.096  	0.000  	279.072	-42.744	236.329	
13.500 	9.982  	0.178  	0.000  	253.997	-3.105 	250.892	
14.500 	10.024 	0.099  	0.000  	248.534	-0.734 	247.800	
15.500 	10.151 	0.095  	0.000  	271.376	-24.909	246.467	
16.500 	9.865  	0.240  	0.000  	281.258	-8.487 	272.771	
17.500 	10.396 	0.101  	0.000  	238.108	-1.672 	236.436	
18.500 	9.837  	0.094  	0.000  	254.494	-3.833 	250.661	
19.500 	9.893  	0.144  	0.000  	259.717	-2.835 	256.881	
20.500 	10.124 	0.100  	0.000  	246.207	-0.404 	245.803	
21.500 	9.943  	0.099  	0.000  	252.314	-1.396 	250.918	
22.500 	10.163 	0.096  	0.000  	259.481	-14.955	244.526	
23.500 	10.093 	0.138  	0.000  	261.301	-18.073	243.229	
24.500 	9.791  	0.152  	0.000  	270.985	-5.375 	265.610	
25.500 	10.245 	0.114  	0.000  	244.467	-2.435 	242.032	
26.500 	9.912  	0.096  	0.000  	253.475	-3.244 	250.230	
27.500 	10.032 	0.098  	0.000  	250.236	-3.070 	247.166	
28.500 	9.972  	0.130  	0.000  	252.983	-2.717 	250.266	
29.500 	10.000 	0.112  	0.000  	226.884	13.760 	240.644	
30.500 	9.864  	0.100  	0.000  	250.144	-0.960 	249.184	
31.500 	10.180 	0.107  	0.000  	208.860	34.583 	243.442	
32.500 	9.860  	0.220  	0.000  	290.432	-5.765 	284.668	
33.500 	10.687 	0.103  	0.000  	237.095	-8.247 	228.848	
34.500 	9.707  	0.120  	0.000  	261.916	-1.939 	259.977	
35.500 	10.180 	0.101  	0.000  	244.362	-0.218 	244.144	
36.500 	9.617  	0.119  	0.000  	257.101	-3.718 	253.383	
37.500 	10.076 	0.100  	0.000  	249.459	-2.299 	247.160	
38.500 	9.996  	0.113  	0.000  	252.002	-4.168 	247.834	
39.500 	9.858  	0.131  	0.000  	264.703	-0.708 	263.995	
40.500 	10.246 	0.102  	0.000  	243.709	-0.293 	243.415	
41.500 	9.469  	0.143  	0.000  	266.820	-9.501 	257.319	
42.500 	10.177 	0.099  	0.000  	249.518	-6.836 	242.682	
43.500 	9.922  	0.112  	0.000  	251.168	-1.761 	249.407	
44.500 	9.973  	0.116  	0.000  	217.314	31.190 	248.504	
45.500 	10.088 	0.121  	0.000  	225.585	23.229 	248.814	
46.500 	9.899  	0.164  	0.000  	274.320	-0.842 	273.477	
47.500 	10.426 	0.103  	0.000  	241.618	-2.862 	238.756	
48.500 	9.864  	0.117  	0.000  	257.076	-8.545 	248.532	
49.500 	9.984  	0.097  	0.000  	247.509	-1.360 	246.149	
Averages:
Temperature	Pressure	Momentum	Kinetic energy	Pot. energy	Total energy
10.009 +- 0.050	0.118 +- 0.005	0.000 +- 0.000	248.750 +- 3.462	1.251 +- 2.330	250.001 +- 2.256	


